0:0:0:0:0:0:0:1 - - [05/May/2017:08:57:46 +0530] "GET /OnlineExam/reviewquestions.jsp HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [05/May/2017:08:57:50 +0530] "GET /OnlineExam/logout.jsp HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [05/May/2017:08:57:52 +0530] "GET /OnlineExam/contactus.jsp HTTP/1.1" 200 2070
0:0:0:0:0:0:0:1 - - [05/May/2017:08:57:52 +0530] "GET /bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [05/May/2017:08:57:52 +0530] "GET /bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [05/May/2017:08:57:52 +0530] "GET /JQuery/jquery-3.2.1.js HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [05/May/2017:08:57:52 +0530] "GET /OnlineExam/images/contact%20us.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:08:57:54 +0530] "GET /OnlineExam/logout.jsp HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [05/May/2017:08:57:56 +0530] "GET /OnlineExam/practiceexam.jsp HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [05/May/2017:08:57:56 +0530] "GET /OnlineExam/images/demo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:08:57:56 +0530] "GET /OnlineExam/images/demoo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:08:57:58 +0530] "GET /OnlineExam/previousexams.jsp HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [05/May/2017:08:57:59 +0530] "GET /OnlineExam/home.jsp HTTP/1.1" 200 5721
0:0:0:0:0:0:0:1 - - [05/May/2017:08:57:59 +0530] "GET /OnlineExam/red HTTP/1.1" 404 979
